KLASA SAMAR,SILNIK,0,1,2,3,4,5,6,7
Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA,Diesel (ON),"0,52","0,46","0,37","0,32","0,22","0,2","0,16","0,13"
Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA,Benzyna mHEV (PB-mHEV),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA,Diesel mHEV (ON-mHEV),"0,52","0,46","0,37","0,32","0,22","0,2","0,16","0,13"
Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA,Hybryda (HEV),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA,Plug-in Hybrid (PHEV),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA,Elektryczny (BEV),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA,Wodór (FCEV),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA,LPG,"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - D ŚREDNIA,Benzyna (PB),"0,44","0,38","0,32","0,26","0,22","0,18","0,14","0,13"
Terenowo-rekreacyjne (SUV) - D ŚREDNIA,Diesel (ON),"0,46","0,4","0,3","0,26","0,21","0,16","0,13","0,1"
Terenowo-rekreacyjne (SUV) - D ŚREDNIA,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,32","0,26","0,22","0,18","0,14","0,13"
Terenowo-rekreacyjne (SUV) - D ŚREDNIA,Diesel mHEV (ON-mHEV),"0,46","0,4","0,3","0,26","0,21","0,16","0,13","0,1"
Terenowo-rekreacyjne (SUV) - D ŚREDNIA,Hybryda (HEV),"0,44","0,38","0,32","0,26","0,22","0,18","0,14","0,13"
Terenowo-rekreacyjne (SUV) - D ŚREDNIA,Plug-in Hybrid (PHEV),"0,44","0,38","0,32","0,26","0,22","0,18","0,14","0,13"
Terenowo-rekreacyjne (SUV) - D ŚREDNIA,Elektryczny (BEV),"0,44","0,38","0,32","0,26","0,22","0,18","0,14","0,13"
Terenowo-rekreacyjne (SUV) - D ŚREDNIA,Wodór (FCEV),"0,44","0,38","0,32","0,26","0,22","0,18","0,14","0,13"
Terenowo-rekreacyjne (SUV) - D ŚREDNIA,LPG,"0,44","0,38","0,32","0,26","0,22","0,18","0,14","0,13"
Terenowo-rekreacyjne (SUV) - E WYŻSZA,Benzyna (PB),"0,48","0,42","0,36","0,3","0,24","0,15","0,14","0,1"
Terenowo-rekreacyjne (SUV) - E WYŻSZA,Diesel (ON),"0,43","0,36","0,3","0,26","0,21","0,17","0,13","0,11"
Terenowo-rekreacyjne (SUV) - E WYŻSZA,Benzyna mHEV (PB-mHEV),"0,48","0,42","0,36","0,3","0,24","0,15","0,14","0,1"
Terenowo-rekreacyjne (SUV) - E WYŻSZA,Diesel mHEV (ON-mHEV),"0,43","0,36","0,3","0,26","0,21","0,17","0,13","0,11"
Terenowo-rekreacyjne (SUV) - E WYŻSZA,Hybryda (HEV),"0,48","0,42","0,36","0,3","0,24","0,15","0,14","0,1"
Terenowo-rekreacyjne (SUV) - E WYŻSZA,Plug-in Hybrid (PHEV),"0,48","0,42","0,36","0,3","0,24","0,15","0,14","0,1"
Terenowo-rekreacyjne (SUV) - E WYŻSZA,Elektryczny (BEV),"0,48","0,42","0,36","0,3","0,24","0,15","0,14","0,1"
Terenowo-rekreacyjne (SUV) - E WYŻSZA,Wodór (FCEV),"0,48","0,42","0,36","0,3","0,24","0,15","0,14","0,1"
Terenowo-rekreacyjne (SUV) - E WYŻSZA,LPG,"0,48","0,42","0,36","0,3","0,24","0,15","0,14","0,1"
Terenowo-rekreacyjne (SUV) - F LUKSUSOWE,Benzyna (PB),"0,43","0,37","0,3","0,29","0,23","0,19","0,15","0,13"
Terenowo-rekreacyjne (SUV) - F LUKSUSOWE,Diesel (ON),"0,45","0,39","0,32","0,29","0,23","0,19","0,15","0,11"
Terenowo-rekreacyjne (SUV) - F LUKSUSOWE,Benzyna mHEV (PB-mHEV),"0,43","0,37","0,3","0,29","0,23","0,19","0,15","0,13"
Terenowo-rekreacyjne (SUV) - F LUKSUSOWE,Diesel mHEV (ON-mHEV),"0,45","0,39","0,32","0,29","0,23","0,19","0,15","0,11"
Terenowo-rekreacyjne (SUV) - F LUKSUSOWE,Hybryda (HEV),"0,43","0,37","0,3","0,29","0,23","0,19","0,15","0,13"
Terenowo-rekreacyjne (SUV) - F LUKSUSOWE,Plug-in Hybrid (PHEV),"0,43","0,37","0,3","0,29","0,23","0,19","0,15","0,13"
Terenowo-rekreacyjne (SUV) - F LUKSUSOWE,Elektryczny (BEV),"0,43","0,37","0,3","0,29","0,23","0,19","0,15","0,13"
Terenowo-rekreacyjne (SUV) - F LUKSUSOWE,Wodór (FCEV),"0,43","0,37","0,3","0,29","0,23","0,19","0,15","0,13"
Terenowo-rekreacyjne (SUV) - F LUKSUSOWE,LPG,"0,43","0,37","0,3","0,29","0,23","0,19","0,15","0,13"
Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE,Benzyna (PB),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE,Diesel (ON),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE,Benzyna mHEV (PB-mHEV),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE,Diesel mHEV (ON-mHEV),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE,Hybryda (HEV),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE,Plug-in Hybrid (PHEV),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE,Elektryczny (BEV),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE,Wodór (FCEV),"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE,LPG,"0,43","0,37","0,32","0,3","0,25","0,2","0,18","0,13"
Vany - B MICROVANY,Benzyna (PB),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - B MICROVANY,Diesel (ON),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - B MICROVANY,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - B MICROVANY,Diesel mHEV (ON-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - B MICROVANY,Hybryda (HEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - B MICROVANY,Plug-in Hybrid (PHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - B MICROVANY,Elektryczny (BEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - B MICROVANY,Wodór (FCEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - B MICROVANY,LPG,"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - C MINIVANY,Benzyna (PB),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - C MINIVANY,Diesel (ON),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - C MINIVANY,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - C MINIVANY,Diesel mHEV (ON-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - C MINIVANY,Hybryda (HEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - C MINIVANY,Plug-in Hybrid (PHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - C MINIVANY,Elektryczny (BEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - C MINIVANY,Wodór (FCEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - C MINIVANY,LPG,"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - D VANY,Benzyna (PB),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - D VANY,Diesel (ON),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - D VANY,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - D VANY,Diesel mHEV (ON-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - D VANY,Hybryda (HEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - D VANY,Plug-in Hybrid (PHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - D VANY,Elektryczny (BEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - D VANY,Wodór (FCEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - D VANY,LPG,"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - E WYŻSZA,Benzyna (PB),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - E WYŻSZA,Diesel (ON),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - E WYŻSZA,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - E WYŻSZA,Diesel mHEV (ON-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - E WYŻSZA,Hybryda (HEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - E WYŻSZA,Plug-in Hybrid (PHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - E WYŻSZA,Elektryczny (BEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - E WYŻSZA,Wodór (FCEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - E WYŻSZA,LPG,"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - F LUKSUSOWE,Benzyna (PB),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - F LUKSUSOWE,Diesel (ON),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - F LUKSUSOWE,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - F LUKSUSOWE,Diesel mHEV (ON-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - F LUKSUSOWE,Hybryda (HEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - F LUKSUSOWE,Plug-in Hybrid (PHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - F LUKSUSOWE,Elektryczny (BEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - F LUKSUSOWE,Wodór (FCEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Vany - F LUKSUSOWE,LPG,"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
