KLASA SAMAR,SILNIK,0,1,2,3,4,5,6,7
Minibusy - I MINIBUSY,Diesel mHEV (ON-mHEV),"0,45","0,39","0,32","0,26","0,25","0,2","0,16","0,13"
Minibusy - I MINIBUSY,Hybryda (HEV),"0,45","0,39","0,32","0,26","0,25","0,2","0,16","0,13"
Minibusy - I MINIBUSY,Plug-in Hybrid (PHEV),"0,45","0,39","0,32","0,26","0,25","0,2","0,16","0,13"
Minibusy - I MINIBUSY,Elektryczny (BEV),"0,45","0,39","0,32","0,26","0,25","0,2","0,16","0,13"
Minibusy - I MINIBUSY,Wodór (FCEV),"0,45","0,39","0,32","0,26","0,25","0,2","0,16","0,13"
Minibusy - I MINIBUSY,LPG,"0,45","0,39","0,32","0,26","0,25","0,2","0,16","0,13"
Pick-up - PICK-UP,Benzyna (PB),"0,49","0,43","0,38","0,37","0,31","0,26","0,21","0,16"
Pick-up - PICK-UP,Diesel (ON),"0,49","0,43","0,38","0,37","0,31","0,26","0,21","0,16"
Pick-up - PICK-UP,Benzyna mHEV (PB-mHEV),"0,49","0,43","0,38","0,37","0,31","0,26","0,21","0,16"
Pick-up - PICK-UP,Diesel mHEV (ON-mHEV),"0,49","0,43","0,38","0,37","0,31","0,26","0,21","0,16"
Pick-up - PICK-UP,Hybryda (HEV),"0,49","0,43","0,38","0,37","0,31","0,26","0,21","0,16"
Pick-up - PICK-UP,Plug-in Hybrid (PHEV),"0,49","0,43","0,38","0,37","0,31","0,26","0,21","0,16"
Pick-up - PICK-UP,Elektryczny (BEV),"0,49","0,43","0,38","0,37","0,31","0,26","0,21","0,16"
Pick-up - PICK-UP,Wodór (FCEV),"0,49","0,43","0,38","0,37","0,31","0,26","0,21","0,16"
Pick-up - PICK-UP,LPG,"0,49","0,43","0,38","0,37","0,31","0,26","0,21","0,16"
Podstawowa - A MINI,Benzyna (PB),"0,44","0,38","0,35","0,33","0,24","0,21","0,17","0,12"
Podstawowa - A MINI,Diesel (ON),"0,44","0,38","0,35","0,33","0,24","0,21","0,17","0,12"
Podstawowa - A MINI,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,35","0,33","0,24","0,21","0,17","0,12"
Podstawowa - A MINI,Diesel mHEV (ON-mHEV),"0,44","0,38","0,35","0,33","0,24","0,21","0,17","0,12"
Podstawowa - A MINI,Hybryda (HEV),"0,44","0,38","0,35","0,33","0,24","0,21","0,17","0,12"
Podstawowa - A MINI,Plug-in Hybrid (PHEV),"0,44","0,38","0,35","0,33","0,24","0,21","0,17","0,12"
Podstawowa - A MINI,Elektryczny (BEV),"0,44","0,38","0,35","0,33","0,24","0,21","0,17","0,12"
Podstawowa - A MINI,Wodór (FCEV),"0,44","0,38","0,35","0,33","0,24","0,21","0,17","0,12"
Podstawowa - A MINI,LPG,"0,44","0,38","0,35","0,33","0,24","0,21","0,17","0,12"
Podstawowa - B MAŁE,Benzyna (PB),"0,41","0,36","0,31","0,28","0,24","0,19","0,14","0,12"
Podstawowa - B MAŁE,Diesel (ON),"0,45","0,39","0,34","0,36","0,22","0,2","0,165","0,105"
Podstawowa - B MAŁE,Benzyna mHEV (PB-mHEV),"0,41","0,36","0,31","0,28","0,24","0,19","0,14","0,12"
Podstawowa - B MAŁE,Diesel mHEV (ON-mHEV),"0,45","0,39","0,34","0,36","0,22","0,2","0,165","0,105"
Podstawowa - B MAŁE,Hybryda (HEV),"0,41","0,36","0,31","0,28","0,24","0,19","0,14","0,12"
Podstawowa - B MAŁE,Plug-in Hybrid (PHEV),"0,41","0,36","0,31","0,28","0,24","0,19","0,14","0,12"
Podstawowa - B MAŁE,Elektryczny (BEV),"0,41","0,36","0,31","0,28","0,24","0,19","0,14","0,12"
Podstawowa - B MAŁE,Wodór (FCEV),"0,41","0,36","0,31","0,28","0,24","0,19","0,14","0,12"
Podstawowa - B MAŁE,LPG,"0,41","0,36","0,31","0,28","0,24","0,19","0,14","0,12"
Podstawowa - C NIŻSZA ŚREDNIA,Benzyna (PB),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - C NIŻSZA ŚREDNIA,Diesel (ON),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Podstawowa - C NIŻSZA ŚREDNIA,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - C NIŻSZA ŚREDNIA,Diesel mHEV (ON-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Podstawowa - C NIŻSZA ŚREDNIA,Hybryda (HEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - C NIŻSZA ŚREDNIA,Plug-in Hybrid (PHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - C NIŻSZA ŚREDNIA,Elektryczny (BEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - C NIŻSZA ŚREDNIA,Wodór (FCEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - C NIŻSZA ŚREDNIA,LPG,"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - D ŚREDNIA,Benzyna (PB),"0,47","0,4","0,33","0,27","0,23","0,18","0,16","0,15"
Podstawowa - D ŚREDNIA,Diesel (ON),"0,46","0,4","0,32","0,26","0,21","0,16","0,12","0,09"
Podstawowa - D ŚREDNIA,Benzyna mHEV (PB-mHEV),"0,47","0,4","0,33","0,27","0,23","0,18","0,16","0,15"
Podstawowa - D ŚREDNIA,Diesel mHEV (ON-mHEV),"0,46","0,4","0,32","0,26","0,21","0,16","0,12","0,09"
Podstawowa - D ŚREDNIA,Hybryda (HEV),"0,47","0,4","0,33","0,27","0,23","0,18","0,16","0,15"
Podstawowa - D ŚREDNIA,Plug-in Hybrid (PHEV),"0,47","0,4","0,33","0,27","0,23","0,18","0,16","0,15"
