KALKULATOR WARTOŚCI REZYDUALNYCH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,DANE,Unnamed: 17,ZAPYTANIE,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,PRZEBIEG,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,OKRES,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,RV 48/140,Unnamed: 71,Korekta,RV (po korektach),Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,KALKULACJE ARCHIWALNE,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89
L.p.,Klasa,Silnik + Klasa,Silnik + Klasa + Marka,Marka,Model,Silnik,Kolor,Zabudowa,Rocznik,Data Kalkulacji,Cena katalogowa [Brutto],Doposażenie pozostałe [Brutto],Lakier [Brutto],Łączna cena doposażenia [Brutto],Łączna cena zakupu [Brutto],Okres standard.,Przebieg standard.,Okres,Przebieg,Data Zakończenia Kontraktu,Miesiąć,Okres (do kalkulacji),Data kontaktu (po korekcie),Rok (początek),Rok (koniec),Czas przygotowania,Wiek,Nadprzebieg / Niedobieg (tyś.km),Przebieg <190,Przebieg >190,Przebieg >190,Przebieg % utrata wartości <190,Przebieg % utrata wartości >190,Przebieg <190,Przebieg >190,Korekta przebiegu,Deprecjacja % Okres [0 rok],Deprecjacja $ Okres    [0 rok],WR [0 rok],,Deprecjacja % Okres [1 rok],Deprecjacja $ Okres    [1 rok],WR [1 rok],,Deprecjacja % Okres    [2 lata],Deprecjacja $ Okres [2 lata],WR  [2 lata],,Deprecjacja % Okres    [3 lata],Deprecjacja $ Okres    [3 lata],WR  [3 lata],,Deprecjacja % Okres [4 lata],Deprecjacja $ Okres [4 lata],,Deprecjacja % Okres    [5 lat],Deprecjacja $ Okres    [5 lat],WR           [5 lat],,Deprecjacja % Okres    [6 lat],Deprecjacja $ Okres   [6 lat],WR [6 lat],,Deprecjacja % Okres   [7 lat],Deprecjacja $ Okres [7 lat],WR [7 lat],,% Doposażenia,Okres + doposażenie,48 M-CY 140 tyś. km [Brutto],48WR%,Korekta Marka,Wartość RV [Brutto],Korekta WR,RV [Brutto] + Korekta WR,RV (po korektach),WR (Nowy Kalkulator),Link do kalkulacji NK,Uwagi,WR (Stary kalkulator),Link do kalkulacji SK,DATA,KOREKTA,WR,WR %,RÓŻNICA,LINK,,RÓŻNICA %
1001,DSUV,DSUVPB,DSUVALFAPB,ALFA,"ALFA ROMEO Giulia 2,0 i PB 2x4 AT 280 KM ASO 5 drzwiowy Veloce",PB,metalik,ND,bieżący,2023-01-07 00:00:00,250000,4400,,4400,254400,48,140,48,96,2027-01-10 00:00:00,1,50,2027-03-12 00:00:00,2023,2027,2,4,-44,-44,-94,0,0.0126,0.0252,1272.1967999999997,2544.3935999999994,-5597.6659199999995,0.05,6298.5599999999995,132269.75999999998,0.52907904,0.08,9331.199999999999,125971.19999999998,0.5038847999999999,0.08,8639.999999999998,116639.99999999999,0.4665599999999999,0.08,7999.999999999999,107999.99999999999,0.43199999999999994,0,99999.99999999999,0.39999999999999997,0.05,5000,94999.99999999999,0.37999999999999995,0.05,4749.999999999999,90249.99999999999,0.36099999999999993,0.05,4512.499999999999,85737.49999999999,0.3429499999999999,0.22,100967.99999999999,99999.99999999999,0.39999999999999997,-0.02,106565.66591999998,0,106565.66591999998,0.41889019622641505,,,,,,2022-07-22 00:00:00,3000,113525.34,0.44624740566037735,6959.674080000012,http://rms.express/KalkulacjaDTO/EditOption/148674?callBackId=,,-0.027357209433962304
1002,DSUV,DSUVPB,DSUVALFAPB,ALFA,"ALFA ROMEO Giulia 2,9 i PB 2x4 AT 510 KM ASO 5 drzwiowy QUADRIFOGLIO",PB,metalik,ND,bieżący,2023-01-07 00:00:00,473000,4400,,4400,477400,48,140,36,72,2026-01-09 00:00:00,1,38,2026-03-11 00:00:00,2023,2026,2,3,-68,-68,-118,0,0.0126,0.0252,2589.048,5178.096,-17605.5264,0.05,11916.87552,250254.38591999997,0.52907904,0.08,17654.6304,238337.51039999997,0.5038847999999999,0.08,16346.879999999997,220682.87999999998,0.46656,0.08,15135.999999999998,204335.99999999997,0.43199999999999994,0,189199.99999999997,0.3999999999999999,0.05,9459.999999999998,179739.99999999997,0.37999999999999995,0.05,8986.999999999998,170752.99999999997,0.36099999999999993,0.05,8537.65,162215.34999999998,0.34295,0.26,205479.99999999997,189199.99999999997,0.39999999999999997,-0.02,223085.52639999997,0,223085.52639999997,0.46729268202764973,,,,,,2022-07-22 00:00:00,0,230998.92,0.4838687054880604,7913.393600000039,http://rms.express/KalkulacjaDTO/EditOption/148683?callBackId=,,-0.01657602346041065
1003,DSUV,DSUVPB,DSUVALFAPB,ALFA,"ALFA ROMEO Giulia 2,9 i PB 2x4 AT 510 KM ASO 5 drzwiowy QUADRIFOGLIO",PB,metalik,ND,bieżący,2023-01-07 00:00:00,473000,4400,,4400,477400,48,140,48,96,2027-01-10 00:00:00,1,50,2027-03-12 00:00:00,2023,2027,2,4,-44,-44,-94,0,0.0126,0.0252,2396.1168,4792.2336,-10542.913919999999,0.05,11916.87552,250254.38591999997,0.52907904,0.08,17654.6304,238337.51039999997,0.5038847999999999,0.08,16346.879999999997,220682.87999999998,0.46656,0.08,15135.999999999998,204335.99999999997,0.43199999999999994,0,189199.99999999997,0.3999999999999999,0.05,9459.999999999998,179739.99999999997,0.37999999999999995,0.05,8986.999999999998,170752.99999999997,0.36099999999999993,0.05,8537.65,162215.34999999998,0.34295,0.22,190167.99999999997,189199.99999999997,0.39999999999999997,-0.02,200710.91391999996,0,200710.91391999996,0.4204250396313363,,,,,,2022-07-22 00:00:00,0,205915.53,0.43132704231252617,5204.616080000036,http://rms.express/KalkulacjaDTO/EditOption/148684?callBackId=,,-0.010902002681189848
1004,DSUV,DSUVPB,DSUVALFAPB,ALFA,"ALFA ROMEO Stelvio 2,0 i PB 4x4 AT 200 KM ASO 5 drzwiowy Business",PB,metalik,ND,bieżący,2023-01-07 00:00:00,179900,15700,,15700,195600,48,140,48,80,2027-01-10 00:00:00,1,50,2027-03-12 00:00:00,2023,2027,2,4,-60,-60,-110,0,0.0126,0.0252,950.2164,1900.4328,-5701.2984,0.05,4532.443776,95181.319296,0.5290790400000001,0.08,6714.73152,90648.87552,0.5038848,0.08,6217.344,83934.144,0.46656,0.08,5756.8,77716.8,0.432,0,71960,0.4,0.05,3598,68362,0.38,0.05,3418.1000000000004,64943.9,0.361,0.05,3247.195,61696.705,0.34295000000000003,0.22,75414,71960,0.39999999999999997,-0.02,81115.2984,0,81115.2984,0.41469988957055215,,,,,,2022-05-31 00:00:00,18000,91487,0.4677249488752556,10371.7016,http://rms.express/KalkulacjaDTO/EditOption/147643?callBackId=,,-0.05302505930470347
1005,DSUV,DSUVPB,DSUVALFAPB,ALFA,"ALFA ROMEO Stelvio 2,0 i PB 4x4 AT 280 KM ASO 5 drzwiowy Sprint",PB,metalik,ND,bieżący,2023-01-07 00:00:00,270000,4600,,4600,274600,48,140,48,120,2027-01-10 00:00:00,1,50,2027-03-12 00:00:00,2023,2027,2,4,-20,-20,-70,0,0.0126,0.0252,1373.5511999999999,2747.1023999999998,-2747.1023999999998,0.05,6802.444799999999,142851.34079999998,0.52907904,0.08,10077.695999999998,136048.89599999998,0.5038847999999999,0.08,9331.199999999999,125971.19999999998,0.4665599999999999,0.08,8639.999999999998,116639.99999999999,0.43199999999999994,0,107999.99999999999,0.39999999999999997,0.05,5400,102599.99999999999,0.37999999999999995,0.05,5130,97469.99999999999,0.36099999999999993,0.05,4873.499999999999,92596.49999999999,0.3429499999999999,0.22,109011.99999999999,107999.99999999999,0.39999999999999997,-0.02,111759.10239999999,0,111759.10239999999,0.40698871959213395,,,,,,2023-03-09 00:00:00,5000,113195.72,0.4122203932993445,1436.6176000000123,http://rms.express/KalkulacjaDTO/EditOption/151902?callBackId=,,-0.00523167370721056
1006,DSUV,DSUVPB,DSUVALFAPB,ALFA,"ALFA ROMEO Stelvio 2,0 i PB 4x4 AT 280 KM ASO 5 drzwiowy Ti",PB,metalik,ND,bieżący,2023-01-07 00:00:00,267000,0,,0,267000,48,140,48,96,2027-01-10 00:00:00,1,50,2027-03-12 00:00:00,2023,2027,2,4,-44,-44,-94,0,0.0126,0.0252,1345.6799999999998,2691.3599999999997,-5920.992,0.05,6726.862079999999,141264.10367999997,0.52907904,0.08,9965.721599999999,134537.24159999998,0.5038847999999999,0.08,9227.519999999999,124571.51999999999,0.46656,0.08,8543.999999999998,115343.99999999999,0.43199999999999994,0,106799.99999999999,0.39999999999999997,0.05,5340,101459.99999999999,0.37999999999999995,0.05,5073,96386.99999999999,0.36099999999999993,0.05,4819.349999999999,91567.64999999998,0.3429499999999999,0.22,106799.99999999999,106799.99999999999,0.39999999999999997,-0.02,112720.99199999998,0,112720.99199999998,0.42217599999999994,,,,,,2022-08-10 00:00:00,8000,118851.29,0.44513591760299626,6130.29800000001,http://rms.express/KalkulacjaDTO/EditOption/148944?callBackId=,,-0.022959917602996316
1007,DSUV,DSUVPB,DSUVALFAPB,ALFA,"ALFA ROMEO Stelvio 2,0 i PB 4x4 AT 280 KM ASO 5 drzwiowy Ti",PB,metalik,ND,bieżący,2023-01-07 00:00:00,267000,0,,0,267000,48,140,36,72,2026-01-09 00:00:00,1,38,2026-03-11 00:00:00,2023,2026,2,3,-68,-68,-118,0,0.0126,0.0252,1453.3343999999997,2906.6687999999995,-9882.673919999997,0.05,6726.862079999999,141264.10367999997,0.52907904,0.08,9965.721599999999,134537.24159999998,0.5038847999999999,0.08,9227.519999999999,124571.51999999999,0.46656,0.08,8543.999999999998,115343.99999999999,0.43199999999999994,0,106799.99999999999,0.39999999999999997,0.05,5340,101459.99999999999,0.37999999999999995,0.05,5073,96386.99999999999,0.36099999999999993,0.05,4819.349999999999,91567.64999999998,0.3429499999999999,0.26,115343.99999999999,106799.99999999999,0.39999999999999997,-0.02,125226.67391999999,0,125226.67391999999,0.46901375999999995,,,,,,2022-08-12 00:00:00,8000,134366.51,0.5032453558052434,9139.836080000023,http://rms.express/KalkulacjaDTO/EditOption/148972?callBackId=,,-0.03423159580524349
1008,DSUV,DSUVPB,DSUVALFAPB,ALFA,"ALFA ROMEO Stelvio 2,0 i PB 4x4 AT 280 KM ASO 5 drzwiowy Veloce",PB,metalik,ND,bieżący,2023-01-07 00:00:00,280000,0,,0,280000,48,140,48,96,2027-01-10 00:00:00,1,50,2027-03-12 00:00:00,2023,2027,2,4,-44,-44,-94,0,0.0126,0.0252,1411.1999999999998,2822.3999999999996,-6209.28,0.05,7054.387199999999,148142.13119999997,0.52907904,0.08,10450.944,141087.74399999998,0.5038847999999999,0.08,9676.8,130636.79999999999,0.46656,0.08,8959.999999999998,120959.99999999999,0.43199999999999994,0,111999.99999999999,0.39999999999999997,0.05,5600,106399.99999999999,0.37999999999999995,0.05,5320,101079.99999999999,0.36099999999999993,0.05,5054,96025.99999999999,0.3429499999999999,0.22,111999.99999999999,111999.99999999999,0.39999999999999997,-0.02,118209.27999999998,0,118209.27999999998,0.42217599999999994,,,,,,2022-08-10 00:00:00,8000,124116.92,0.4432747142857143,5907.640000000014,http://rms.express/KalkulacjaDTO/EditOption/148945?callBackId=,,-0.02109871428571436
1009,DSUV,DSUVPB,DSUVALFAPB,ALFA,"ALFA ROMEO Stelvio 2,0 i PB 4x4 AT 280 KM ASO 5 drzwiowy Veloce",PB,metalik,ND,bieżący,2023-01-07 00:00:00,292000,18800,,18800,310800,48,140,48,120,2027-01-10 00:00:00,1,50,2027-03-12 00:00:00,2023,2027,2,4,-20,-20,-70,0,0.0126,0.0252,1523.7935999999997,3047.5871999999995,-3047.5871999999995,0.05,7356.718080000001,154491.07968,0.52907904,0.08,10898.8416,147134.3616,0.5038848,0.08,10091.519999999999,136235.52,0.46656,0.08,9343.999999999998,126143.99999999999,0.43199999999999994,0,116799.99999999999,0.39999999999999997,0.05,5840,110959.99999999999,0.37999999999999995,0.05,5548,105411.99999999999,0.36099999999999993,0.05,5270.599999999999,100141.39999999998,0.3429499999999999,0.22,120935.99999999999,116799.99999999999,0.39999999999999997,-0.02,123983.58719999998,0,123983.58719999998,0.3989175907335907,,,,,,2023-03-09 00:00:00,5000,124777.4,0.401471685971686,793.8128000000142,http://rms.express/KalkulacjaDTO/EditOption/151900?callBackId=,,-0.0025540952380952997
